#{"t_start": 1764108981.4643998, "env_id": "None"}
r,l,t,e
-329.820324,200,3.056498,180000.00060765294
-135.906665,200,4.131781,180000.00060765294
-321.494766,200,5.909784,180000.00060765294
-19.093778,54,6.37321,48600.00016406622
-29.014115,63,6.886924,56700.00019141061
-424.810905,200,8.810988,180000.00060765294
-456.204203,200,10.764499,180000.00060765294
-406.313437,200,12.791365,180000.00060765294
-215.376218,200,15.088865,180000.00060765294
-305.747336,200,17.287343,180000.00060765294
-117.1306,130,18.76361,117000.00039497438
-291.25218,200,20.833794,180000.00060765294
-25.682915,58,21.453136,52200.000176219284
-224.471737,200,23.359376,180000.00060765294
-5.688225,27,23.556147,24300.000082033097
-144.249717,200,25.470052,180000.00060765294
-285.982805,200,27.567693,180000.00060765294
-344.436271,200,29.521927,180000.00060765294
10.0,1,29.56355,900.000003038263
-197.678887,200,31.60409,180000.00060765294
-487.789777,200,33.49098,180000.00060765294
9.056273,4,33.527102,3600.000012153052
-240.672282,200,35.421068,180000.00060765294
-340.06812,200,37.360625,180000.00060765294
10.0,1,37.362622,900.000003038263
-271.73385,200,39.52559,180000.00060765294
-437.885669,200,41.697647,180000.00060765294
-262.937163,200,43.843872,180000.00060765294
-28.92391,60,44.517878,54000.000182295815
-222.574356,200,46.473875,180000.00060765294
6.965577,9,46.582027,8100.000027344369
-23.150364,44,47.091688,39600.00013368357
-366.583622,200,49.041256,180000.00060765294
-179.893668,200,51.18819,180000.00060765294
-23.777027,61,51.80667,54900.00018533408
-147.902163,200,53.966581,180000.00060765294
-40.153875,66,54.661912,59400.00020052541
-16.486694,42,55.043618,37800.00012760704
-7.400492,31,55.345608,27900.000094186144
-27.183977,59,56.026552,53100.00017925755
10.0,1,56.027554,900.000003038263
6.9946,9,56.106685,8100.000027344369
1.845889,19,56.303828,17100.000057727004
-353.015421,200,58.314187,180000.00060765294
-403.613152,200,60.318834,180000.00060765294
-378.618718,200,62.346907,180000.00060765294
-134.762453,161,63.794319,144900.0004891606
-451.038615,200,65.895927,180000.00060765294
-32.171079,72,68.344846,64800.000218755
-174.57312,200,76.001429,180000.00060765294
-270.355119,200,83.71,180000.00060765294
-1.165819,21,84.560434,18900.000063803527
-411.083392,200,92.266227,180000.00060765294
-272.977381,200,100.176505,180000.00060765294
-145.291604,200,108.116513,180000.00060765294
-7.809982,29,109.243197,26100.00008810962
-55.535666,80,112.427584,72000.00024306112
10.0,1,112.430578,900.000003038263
5.535917,11,112.818241,9900.000033420896
5.176806,11,113.142467,9900.000033420896
-107.212995,165,119.053027,148500.00050131365
3.648858,18,119.650352,16200.00005468874
-6.261272,33,120.839045,29700.000100262667
-167.607327,200,127.668529,180000.00060765294
-189.367256,200,134.236602,180000.00060765294
-293.339821,200,141.339065,180000.00060765294
-137.833075,200,148.472644,180000.00060765294
-482.929642,200,155.289532,180000.00060765294
-221.632166,200,162.403563,180000.00060765294
-165.830469,200,169.516346,180000.00060765294
-257.866394,200,176.679335,180000.00060765294
-223.15412,200,183.730238,180000.00060765294
-315.753646,200,190.13594,180000.00060765294
-161.078202,200,191.973802,180000.00060765294
10.0,1,191.976796,900.000003038263
-325.756933,200,194.556756,180000.00060765294
-8.399902,34,195.042791,30600.00010330093
-12.079931,35,195.528055,31500.00010633919
-341.058897,200,197.497983,180000.00060765294
-0.472817,21,197.781935,18900.000063803527
-20.077839,41,198.280447,36900.000124568774
-382.482458,200,200.148223,180000.00060765294
9.335914,3,200.157224,2700.000009114789
-34.439342,75,201.545518,67500.0002278698
-268.656094,200,208.578076,180000.00060765294
-5.067904,26,209.654425,23400.000078994835
-256.844749,200,216.862783,180000.00060765294
-4.684405,39,218.184769,35100.000118492244
-63.695812,135,223.194071,121500.00041016571
10.0,1,223.203587,900.000003038263
-11.648746,31,224.357692,27900.000094186144
-261.753741,200,231.120504,180000.00060765294
-254.734095,200,237.742195,180000.00060765294
-2.030919,25,238.520611,22500.000075956574
-196.795682,200,245.519455,180000.00060765294
6.797099,9,245.812686,8100.000027344369
9.349317,3,245.827104,2700.000009114789
-406.187334,200,252.55678,180000.00060765294
5.773192,11,252.970589,9900.000033420896
6.251641,10,253.379229,9000.000030382633
-86.020174,109,257.239721,98100.00033117081
-101.453479,124,261.303539,111600.00037674479
1.033561,18,261.812046,16200.00005468874
-7.845976,32,262.904634,28800.000097224405
6.159522,10,263.289181,9000.000030382633
-218.490154,200,270.673717,180000.00060765294
6.602247,9,270.995187,8100.000027344369
8.225657,6,271.256302,5400.000018229579
-154.119054,200,278.179793,180000.00060765294
-19.089448,41,279.585298,36900.000124568774
1.794401,19,280.338075,17100.000057727004
-0.79974,25,281.182735,22500.000075956574
-107.299445,137,285.822135,123300.00041624224
10.0,1,285.826319,900.000003038263
-15.500274,43,287.184709,38700.000130645305
-102.752013,112,291.019252,100800.00034028561
-73.39968,85,293.829508,76500.00025825245
0.452787,19,294.517077,17100.000057727004
-7.195902,29,295.363494,26100.00008810962
7.381281,8,295.63647,7200.000024306106
-10.785179,35,296.993356,31500.00010633919
10.0,1,297.001997,900.000003038263
-9.921139,33,298.218663,29700.000100262667
-4.316712,28,299.112757,25200.00008507136
-230.614856,200,305.486495,180000.00060765294
-6.833371,29,306.463441,26100.00008810962
-182.208702,200,313.437758,180000.00060765294
-65.711815,102,316.651711,91800.00030990296
9.324993,3,316.784524,2700.000009114789
4.860881,12,317.129517,10800.00003645916
-10.77873,42,318.578742,37800.00012760704
-270.645819,200,324.967224,180000.00060765294
-304.295565,200,330.656175,180000.00060765294
-1.840317,23,331.273577,20700.00006988005
-69.495824,133,335.24858,119700.00040408918
10.0,1,335.251958,900.000003038263
-175.038168,163,339.567389,146700.00049523712
-178.106959,179,341.152946,161100.00054384937
-12.354145,41,341.525172,36900.000124568774
-195.991336,200,344.121078,180000.00060765294
-294.255698,200,349.610157,180000.00060765294
-355.980832,200,357.936414,180000.00060765294
-34.106933,57,360.168748,51300.00017318102
-150.309204,181,367.902534,162900.0005499259
5.662977,10,368.391221,9000.000030382633
10.0,1,368.399636,900.000003038263
-49.591059,103,372.80741,92700.00031294122
-223.543343,200,381.46663,180000.00060765294
0.179674,21,382.344424,18900.000063803527
0.588325,20,383.177093,18000.000060765266
10.0,1,383.184602,900.000003038263
-14.706914,41,384.841044,36900.000124568774
-199.009731,200,392.706831,180000.00060765294
-543.904474,200,401.946416,180000.00060765294
-0.180733,18,402.837891,16200.00005468874
0.213933,20,403.7837,18000.000060765266
10.0,1,403.7978,900.000003038263
-287.379454,200,412.628085,180000.00060765294
9.673528,2,412.725025,1800.000006076526
9.685769,2,412.734554,1800.000006076526
4.587675,14,413.482063,12600.000042535687
0.49347,18,414.174958,16200.00005468874
-4.64175,25,415.310255,22500.000075956574
7.589782,7,415.70376,6300.000021267842
-16.370862,50,417.730376,45000.00015191316
-48.220754,111,422.512282,99900.00033724734
-9.342202,29,423.813954,26100.00008810962
-27.906275,48,425.885619,43200.00014583663
-8.90813,37,427.443213,33300.00011241571
6.347072,9,427.819155,8100.000027344369
-3.942738,27,429.035681,24300.000082033097
-1.890835,20,429.886291,18000.000060765266
-24.414118,51,432.219816,45900.00015495143
3.494299,15,432.761175,13500.00004557395
-267.504777,200,441.664986,180000.00060765294
1.768451,18,442.479029,16200.00005468874
8.170147,6,442.679407,5400.000018229579
3.766436,15,443.290987,13500.00004557395
-13.515576,45,445.403229,40500.000136721836
-402.321803,200,454.590667,180000.00060765294
-0.235862,19,455.465269,17100.000057727004
-333.087393,200,464.234247,180000.00060765294
10.0,1,464.249247,900.000003038263
0.340349,20,465.187469,18000.000060765266
1.024408,23,466.337394,20700.00006988005
7.071108,8,466.678396,7200.000024306106
-9.169319,31,468.019335,27900.000094186144
3.532491,16,468.769478,14400.000048612214
10.0,1,468.773618,900.000003038263
-15.175626,39,470.320847,35100.000118492244
-6.857608,26,471.363408,23400.000078994835
-25.366146,52,473.440774,46800.00015798969
-9.579057,29,474.71034,26100.00008810962
-13.949267,43,476.368361,38700.000130645305
-21.210391,47,478.197637,42300.000142798366
-55.557844,73,481.27446,65700.00022179326
9.047128,4,481.456107,3600.000012153052
5.115161,12,481.906536,10800.00003645916
-21.920793,48,483.955497,43200.00014583663
5.287699,12,484.436083,10800.00003645916
10.0,1,484.59553,900.000003038263
-24.05996,59,486.713473,53100.00017925755
1.212379,19,487.482718,17100.000057727004
-3.34496,23,488.229092,20700.00006988005
0.506067,20,489.042153,18000.000060765266
-174.467973,200,497.105947,180000.00060765294
10.0,1,497.11638,900.000003038263
-283.782054,200,504.775681,180000.00060765294
-42.370869,88,508.244947,79200.00026736724
2.115099,21,509.023469,18900.000063803527
-18.514661,43,510.81493,38700.000130645305
-19.436552,44,512.640789,39600.00013368357
6.477621,10,513.139741,9000.000030382633
-58.782798,79,515.980051,71100.00024002285
-10.345083,32,517.082365,28800.000097224405
-3.424103,24,518.011231,21600.000072918312
-10.719272,33,519.152685,29700.000100262667
-9.945078,30,520.167094,27000.000091147882
-13.701615,32,521.517789,28800.000097224405
-13.074346,40,522.992564,36000.00012153051
10.0,1,523.006659,900.000003038263
6.651987,9,523.504846,8100.000027344369
-37.917211,84,526.59492,75600.00025521418
0.422118,19,527.254034,17100.000057727004
5.40952,11,527.763077,9900.000033420896
10.0,1,527.78167,900.000003038263
-24.708626,45,529.503016,40500.000136721836
6.542682,9,529.874171,8100.000027344369
7.252894,8,530.215275,7200.000024306106
7.792176,7,530.552541,6300.000021267842
