r,l,t,env_id
-273.642695,200,1.070955,env_0
-275.771405,200,1.501085,env_0
-278.977056,200,2.014465,env_0
-272.029448,200,2.536664,env_0
-291.620149,200,3.048797,env_0
-267.96072,200,3.57338,env_0
-277.127922,200,4.11445,env_0
-281.690154,200,4.640796,env_0
-288.927526,200,5.164215,env_0
-288.584652,200,5.687432,env_0
-280.271396,200,6.217029,env_0
-282.323054,200,6.74755,env_0
-278.863481,200,7.344522,env_0
-286.49479,200,8.241281,env_0
-271.682927,200,9.150417,env_0
-288.935442,200,10.125925,env_0
-272.981397,200,11.050374,env_0
-283.72071,200,11.98671,env_0
-272.905861,200,12.934671,env_0
-274.405212,200,13.945056,env_0
-282.905048,200,14.9625,env_0
-272.153995,200,16.048441,env_0
-282.974893,200,16.991294,env_0
-271.700863,200,17.958544,env_0
-286.495554,200,19.001347,env_0
-292.846784,200,19.96244,env_0
-274.504551,200,20.880666,env_0
-278.596216,200,21.860366,env_0
-293.442226,200,22.916652,env_0
-292.387457,200,23.943434,env_0
-269.043669,200,24.998369,env_0
-287.420609,200,26.090498,env_0
-275.170086,200,27.133404,env_0
-274.665316,200,28.091292,env_0
-272.394624,200,29.059885,env_0
-289.182899,200,30.032645,env_0
-283.715212,200,30.990029,env_0
-273.180395,200,31.944447,env_0
-280.027442,200,32.889499,env_0
-265.182278,200,33.885524,env_0
-278.684826,200,34.865524,env_0
-286.023718,200,35.829714,env_0
-287.048155,200,36.777871,env_0
-292.062142,200,37.740964,env_0
-271.906938,200,38.698628,env_0
-276.258393,200,39.662821,env_0
-283.487563,200,40.612657,env_0
-285.668597,200,41.554321,env_0
-285.649889,200,42.527776,env_0
-271.536982,200,43.497468,env_0
-290.899363,200,44.443658,env_0
-285.269021,200,45.400333,env_0
-274.17989,200,46.340044,env_0
-276.747294,200,47.298482,env_0
-288.016554,200,48.251515,env_0
-280.206945,200,49.235929,env_0
-280.455267,200,50.206055,env_0
-283.332334,200,51.174504,env_0
-279.690277,200,52.150838,env_0
-287.207192,200,53.168993,env_0
-288.879741,200,54.141789,env_0
-268.067425,200,55.091198,env_0
-280.832585,200,56.067498,env_0
-300.477535,200,57.010541,env_0
-274.316929,200,57.968411,env_0
-283.856618,200,58.948084,env_0
-286.241067,200,59.897154,env_0
-290.044209,200,60.842473,env_0
-276.57933,200,61.830821,env_0
-285.27557,200,62.830128,env_0
-281.294386,200,63.777959,env_0
-286.989963,200,64.764735,env_0
-282.363735,200,65.765919,env_0
-277.626775,200,66.729879,env_0
-282.412204,200,67.715868,env_0
-286.460913,200,68.662623,env_0
-284.34179,200,69.610941,env_0
-274.313141,200,70.553489,env_0
-278.391241,200,71.511659,env_0
-282.742458,200,72.463615,env_0
-285.832816,200,73.410536,env_0
-269.940822,200,74.359207,env_0
-283.93234,200,75.316859,env_0
-284.24757,200,76.262838,env_0
-281.554987,200,77.232909,env_0
-284.02539,200,78.185284,env_0
-276.966816,200,79.165089,env_0
-281.433025,200,80.136079,env_0
-282.132435,200,81.084487,env_0
-276.960373,200,82.029018,env_0
-274.849521,200,83.003497,env_0
-272.895351,200,83.994432,env_0
-269.119575,200,84.962386,env_0
-287.489511,200,85.925513,env_0
-281.614281,200,86.92689,env_0
-281.650047,200,87.909005,env_0
-289.57133,200,88.878288,env_0
-267.993388,200,89.835544,env_0
-283.694032,200,90.794948,env_0
-289.872658,200,91.761245,env_0
-273.601514,200,92.759044,env_0
-267.697451,200,93.701481,env_0
-288.363369,200,94.665627,env_0
-282.485236,200,95.634323,env_0
-278.718471,200,96.601197,env_0
-282.876523,200,97.552795,env_0
-279.944038,200,98.540907,env_0
-276.492069,200,99.499066,env_0
-289.454198,200,100.421151,env_0
-275.858575,200,101.377688,env_0
-279.096429,200,102.319057,env_0
-289.178838,200,103.304439,env_0
-274.659021,200,104.277765,env_0
-283.142075,200,105.219938,env_0
-284.478025,200,106.195639,env_0
-285.32471,200,107.159503,env_0
-283.873541,200,108.119967,env_0
-280.98055,200,109.056788,env_0
-277.199177,200,109.958859,env_0
-279.657453,200,110.896029,env_0
-280.953845,200,111.860472,env_0
-276.926199,200,112.776858,env_0
-278.286153,200,113.687471,env_0
-291.483017,200,114.576537,env_0
-286.244924,200,115.480901,env_0
-274.507315,200,116.431298,env_0
-267.590958,200,117.359088,env_0
-272.526035,200,118.346833,env_0
-287.031574,200,119.388075,env_0
-280.526195,200,120.362857,env_0
-266.871369,200,121.387145,env_0
-272.992675,200,122.323753,env_0
-281.168426,200,123.267456,env_0
-279.87581,200,124.282514,env_0
-274.228889,200,125.361029,env_0
-271.34546,200,126.328629,env_0
-294.303691,200,127.330392,env_0
-275.7229,200,128.408467,env_0
-268.726246,200,129.447692,env_0
-283.562111,200,130.431631,env_0
-263.988011,200,131.486856,env_0
-274.904664,200,132.48083,env_0
-289.460564,200,133.518295,env_0
-293.500751,200,134.535189,env_0
-286.986489,200,135.589372,env_0
-285.773669,200,136.608022,env_0
-285.819177,200,137.645559,env_0
-277.567155,200,138.731161,env_0
-284.1343,200,139.727725,env_0
-279.750915,200,140.829819,env_0
-275.495661,200,141.868869,env_0
-273.073853,200,142.85369,env_0
-270.752689,200,143.903366,env_0
-268.017349,200,144.966809,env_0
-277.304814,200,146.01461,env_0
-269.139752,200,147.07267,env_0
-262.158114,200,148.007837,env_0
-274.000383,200,148.96335,env_0
-270.235316,200,149.934724,env_0
-274.910542,200,150.889029,env_0
-281.608554,200,151.834724,env_0
-280.385702,200,152.771712,env_0
-276.938573,200,153.778357,env_0
-286.41241,200,154.714762,env_0
-275.472283,200,155.674372,env_0
-274.628614,200,156.633682,env_0
-270.054808,200,157.628815,env_0
-276.005669,200,158.599792,env_0
-275.67534,200,159.579743,env_0
-283.091188,200,160.553571,env_0
-286.418577,200,161.501554,env_0
-279.279133,200,162.468374,env_0
-274.000206,200,163.434596,env_0
-269.672704,200,164.404389,env_0
-279.164742,200,165.367364,env_0
-263.496981,200,166.342463,env_0
-270.117688,200,167.317622,env_0
-273.072885,200,168.290885,env_0
-262.581919,200,169.232382,env_0
-286.811585,200,170.171819,env_0
-258.887672,200,171.142605,env_0
-266.192767,200,172.05037,env_0
-257.841388,200,172.980833,env_0
-272.503541,200,173.934591,env_0
-270.036784,200,174.896635,env_0
-283.89559,200,175.870978,env_0
-270.159979,200,176.806441,env_0
-270.274919,200,177.785898,env_0
-259.933185,200,178.753612,env_0
-278.669927,200,179.719225,env_0
-264.533805,200,180.691253,env_0
-251.59106,200,181.681239,env_0
-285.380923,200,182.612781,env_0
-277.627851,200,183.585625,env_0
-261.499195,200,184.567711,env_0
-273.753953,200,185.527838,env_0
-280.427138,200,186.506122,env_0
-274.638627,200,187.445632,env_0
-264.665602,200,188.419175,env_0
-274.582988,200,189.384701,env_0
-273.879701,200,190.350018,env_0
-263.526525,200,191.304634,env_0
-269.149838,200,192.264487,env_0
-270.680163,200,193.208656,env_0
-277.982618,200,194.148648,env_0
-262.219801,200,195.118239,env_0
-269.211663,200,196.103495,env_0
-271.574713,200,197.077829,env_0
-269.742635,200,198.018999,env_0
-271.31207,200,198.972975,env_0
-271.838709,200,199.949102,env_0
-265.822986,200,200.90899,env_0
-272.601487,200,201.851858,env_0
-274.773603,200,202.801396,env_0
-266.232632,200,203.748912,env_0
-265.21916,200,204.725821,env_0
-277.145405,200,205.669041,env_0
-265.385427,200,206.601348,env_0
-263.439778,200,207.591428,env_0
-259.508865,200,208.555287,env_0
-264.838891,200,209.516072,env_0
-262.370974,200,210.483393,env_0
-261.242499,200,211.455892,env_0
-263.302434,200,212.39238,env_0
-273.430405,200,213.332825,env_0
-270.169764,200,214.295715,env_0
