r,l,t,env_id
-271.903045,200,2.900387,env_0
-272.716153,200,2.965974,env_0
-291.824255,200,3.02878,env_0
-277.417307,200,3.102452,env_0
-277.220665,200,3.617163,env_0
-269.346271,200,4.095734,env_0
-283.169961,200,4.580313,env_0
-285.961076,200,5.053516,env_0
-280.375077,200,5.532806,env_0
-284.346788,200,6.016765,env_0
-278.693585,200,6.498161,env_0
-290.035662,200,6.975205,env_0
-276.085074,200,7.460587,env_0
-271.30005,200,7.943849,env_0
-279.045278,200,8.429532,env_0
-279.885011,200,8.896232,env_0
-300.506418,200,9.373317,env_0
-279.720686,200,9.841761,env_0
-287.093726,200,10.333076,env_0
-257.121227,200,10.81999,env_0
-288.691775,200,11.301856,env_0
-278.208372,200,11.790975,env_0
-278.700647,200,12.257693,env_0
-291.231143,200,13.162033,env_0
-272.143483,200,14.337231,env_0
-269.533433,200,15.649842,env_0
-287.404031,200,16.957273,env_0
-289.554906,200,18.183547,env_0
-293.713658,200,19.311989,env_0
-260.774494,200,20.532167,env_0
-270.938363,200,21.621131,env_0
-287.008603,200,22.623923,env_0
-288.043022,200,23.632491,env_0
-280.682626,200,24.614565,env_0
-287.096535,200,25.652494,env_0
-274.372033,200,26.704032,env_0
-277.716931,200,27.737075,env_0
-279.276386,200,28.732654,env_0
-281.532578,200,29.972796,env_0
-290.114913,200,31.195206,env_0
-276.669332,200,32.057768,env_0
-286.151272,200,32.949996,env_0
-268.378349,200,33.801943,env_0
-286.861668,200,34.673007,env_0
-278.240072,200,35.582777,env_0
-304.764063,200,36.474903,env_0
-288.035236,200,37.379234,env_0
-284.14083,200,38.253754,env_0
-273.116528,200,39.148997,env_0
-280.283509,200,40.00818,env_0
-291.08187,200,40.878297,env_0
-284.323179,200,41.770442,env_0
-281.39155,200,42.662243,env_0
-288.546045,200,43.532813,env_0
-283.71008,200,44.412504,env_0
-280.020107,200,45.304012,env_0
-283.373735,200,46.207575,env_0
-289.064563,200,47.11075,env_0
-280.305715,200,48.016955,env_0
-279.408769,200,48.904441,env_0
-270.35875,200,49.785391,env_0
-278.749177,200,50.67018,env_0
-283.921661,200,51.530757,env_0
-283.154891,200,52.421441,env_0
-283.855898,200,53.295526,env_0
-264.355274,200,54.145991,env_0
-304.462152,200,55.032693,env_0
-283.534662,200,55.936153,env_0
-283.404772,200,56.851002,env_0
-285.723013,200,57.757149,env_0
-295.588956,200,58.640763,env_0
-273.435205,200,59.527131,env_0
-282.696074,200,60.415429,env_0
-286.96692,200,61.293117,env_0
-289.262939,200,62.181602,env_0
-274.091467,200,63.075758,env_0
-288.528004,200,63.941756,env_0
-271.099677,200,64.804028,env_0
-288.347624,200,65.638711,env_0
-279.662369,200,66.489077,env_0
-275.076387,200,67.32775,env_0
-270.173915,200,68.187387,env_0
-284.262793,200,69.032472,env_0
-288.814486,200,69.894731,env_0
-277.609923,200,70.774264,env_0
-294.286045,200,71.655893,env_0
-276.459983,200,72.520958,env_0
-281.07411,200,73.370668,env_0
-280.726076,200,74.218545,env_0
-278.990102,200,75.058051,env_0
-286.221852,200,75.890811,env_0
-265.969524,200,76.717694,env_0
-275.232387,200,77.582298,env_0
-270.412457,200,78.461463,env_0
-281.125351,200,79.328611,env_0
-284.111418,200,80.220636,env_0
-273.865633,200,81.108701,env_0
-266.284891,200,81.974704,env_0
-286.797374,200,82.833248,env_0
-279.458491,200,83.701322,env_0
-277.641132,200,84.535495,env_0
-277.794641,200,85.38333,env_0
-274.711107,200,86.232857,env_0
-276.324838,200,87.05948,env_0
-285.672074,200,87.911507,env_0
-286.618538,200,88.775456,env_0
-260.413683,200,89.66346,env_0
-285.553289,200,90.545878,env_0
-277.082509,200,91.378693,env_0
-272.848085,200,92.231102,env_0
-296.417718,200,93.082964,env_0
-282.976029,200,93.909721,env_0
-274.707626,200,94.752025,env_0
-279.913007,200,95.620806,env_0
-278.063571,200,96.496019,env_0
-274.329159,200,97.354002,env_0
-285.050798,200,98.212685,env_0
-282.054045,200,99.08453,env_0
-290.97393,200,99.929347,env_0
-278.952849,200,100.787149,env_0
-282.116062,200,101.645751,env_0
-280.801579,200,102.504101,env_0
-264.522162,200,103.379857,env_0
-281.027275,200,104.244617,env_0
-281.259767,200,105.125443,env_0
-281.696642,200,106.003433,env_0
-295.019537,200,106.87897,env_0
-289.748708,200,107.758082,env_0
-278.107285,200,108.637549,env_0
-285.453432,200,109.480777,env_0
-271.987297,200,110.337186,env_0
-287.287192,200,111.198399,env_0
-283.187213,200,112.072225,env_0
-275.510054,200,112.938745,env_0
-264.602795,200,113.782581,env_0
-287.064596,200,114.634046,env_0
-278.816246,200,115.522929,env_0
-266.097381,200,116.405878,env_0
-267.565291,200,117.307788,env_0
-280.423979,200,118.182379,env_0
-276.645074,200,119.029364,env_0
-276.945054,200,119.883258,env_0
-272.62448,200,120.750119,env_0
-277.367304,200,121.782077,env_0
-284.41619,200,122.85215,env_0
-283.834359,200,124.01976,env_0
-275.843817,200,125.093657,env_0
-284.382365,200,126.113314,env_0
-285.544193,200,127.09696,env_0
-275.71645,200,128.09144,env_0
-272.053634,200,129.058076,env_0
-281.580801,200,130.042242,env_0
-281.099648,200,130.964978,env_0
-274.21486,200,131.973196,env_0
-281.578013,200,132.974614,env_0
-263.598043,200,134.165355,env_0
-264.732873,200,135.275276,env_0
-276.990129,200,136.402381,env_0
-271.892052,200,137.5623,env_0
-279.807076,200,138.787528,env_0
-273.489783,200,139.941331,env_0
-276.503662,200,141.195812,env_0
-269.228374,200,142.305272,env_0
-265.038313,200,143.487152,env_0
-269.288293,200,144.691795,env_0
-276.895342,200,145.837275,env_0
-271.704314,200,146.891192,env_0
-290.935007,200,147.945678,env_0
-271.34237,200,148.995904,env_0
-279.296999,200,150.311411,env_0
-274.558339,200,151.335221,env_0
-276.992211,200,152.233008,env_0
-288.956977,200,153.142792,env_0
-289.283484,200,154.042209,env_0
-279.57535,200,154.927057,env_0
-276.632027,200,155.824204,env_0
-268.772857,200,156.697798,env_0
-257.330177,200,157.561414,env_0
-265.314076,200,158.415942,env_0
-274.263022,200,159.26579,env_0
-269.190931,200,160.113794,env_0
-274.924687,200,160.997966,env_0
-278.170894,200,161.878625,env_0
-260.557129,200,162.754988,env_0
-266.35148,200,163.642758,env_0
-278.372664,200,164.533137,env_0
-273.749528,200,165.40448,env_0
-279.843087,200,166.281283,env_0
-269.614193,200,167.14641,env_0
-265.768338,200,167.994148,env_0
-283.716208,200,168.846086,env_0
-265.032044,200,169.698867,env_0
-270.45313,200,170.571885,env_0
-274.909193,200,171.432351,env_0
-264.557833,200,172.271297,env_0
-271.520314,200,173.129972,env_0
-261.442552,200,174.005472,env_0
-268.34834,200,174.854063,env_0
-274.104037,200,175.747677,env_0
-273.049757,200,176.628769,env_0
-263.727549,200,177.517838,env_0
-272.886217,200,178.374164,env_0
-272.758562,200,179.254685,env_0
-274.494348,200,180.137533,env_0
-264.643436,200,181.045356,env_0
-269.345606,200,181.934184,env_0
-273.231712,200,182.802879,env_0
-271.918183,200,183.721726,env_0
-262.391369,200,184.616165,env_0
-258.111001,200,185.522408,env_0
-274.330456,200,186.426783,env_0
-273.592595,200,187.35363,env_0
-276.423761,200,188.283128,env_0
-271.812046,200,189.205801,env_0
-278.016278,200,190.104559,env_0
-270.268632,200,191.014164,env_0
-277.082248,200,191.959644,env_0
-272.103239,200,192.900581,env_0
-270.591564,200,193.820548,env_0
-273.383005,200,194.75863,env_0
-253.95359,200,195.724511,env_0
-277.006065,200,196.667051,env_0
-256.971613,200,197.59355,env_0
-268.739623,200,198.537628,env_0
-275.421119,200,199.473867,env_0
-267.152279,200,200.411947,env_0
-273.702929,200,201.349468,env_0
-264.175672,200,202.300838,env_0
-266.132024,200,203.242588,env_0
-265.671346,200,204.176491,env_0
-258.832367,200,205.114712,env_0
-264.16,200,206.033097,env_0
-263.384472,200,206.927435,env_0
-264.867492,200,207.836642,env_0
-260.331833,200,208.7813,env_0
-271.866068,200,209.71127,env_0
-261.722032,200,210.664082,env_0
-268.3993,200,211.571418,env_0
-275.819454,200,212.516465,env_0
-260.107224,200,213.44067,env_0
-261.87011,200,214.404059,env_0
-260.331203,200,215.304678,env_0
-255.569173,200,216.212159,env_0
-262.52882,200,217.171245,env_0
-269.059718,200,218.049805,env_0
-268.760976,200,218.928008,env_0
-269.895891,200,219.850354,env_0
-265.411587,200,220.773212,env_0
-260.42585,200,221.667442,env_0
-263.08897,200,222.578936,env_0
-260.151756,200,223.483674,env_0
-261.478968,200,224.374546,env_0
-260.738929,200,225.33719,env_0
-260.787489,200,226.267455,env_0
-260.930464,200,227.211406,env_0
-258.918642,200,228.099761,env_0
-258.481536,200,229.016458,env_0
-277.39123,200,229.904131,env_0
-260.604184,200,230.826436,env_0
-256.052966,200,231.772971,env_0
-272.965492,200,232.67842,env_0
-273.705883,200,233.604587,env_0
-258.873366,200,234.532601,env_0
-270.159714,200,235.470883,env_0
-267.281936,200,236.376797,env_0
-272.07707,200,237.259364,env_0
-249.262667,200,238.20084,env_0
-257.113688,200,239.109135,env_0
-264.639192,200,240.030707,env_0
-254.55874,200,240.945112,env_0
-249.068326,200,242.241271,env_0
-257.007712,200,243.579357,env_0
-264.126804,200,244.787179,env_0
-258.332927,200,246.072254,env_0
-263.521564,200,247.498169,env_0
-260.814503,200,248.833252,env_0
-272.2959,200,250.014422,env_0
-260.936198,200,251.275961,env_0
-263.802165,200,252.528149,env_0
-256.246307,200,253.904447,env_0
-255.147732,200,255.196,env_0
-260.820012,200,256.576951,env_0
-246.059104,200,257.926958,env_0
-259.038992,200,259.150034,env_0
-245.934969,200,260.55905,env_0
-258.314557,200,261.986127,env_0
-262.076484,200,263.382993,env_0
-252.931275,200,264.683466,env_0
-263.290605,200,266.129511,env_0
-258.180268,200,267.504162,env_0
-273.125172,200,268.765365,env_0
-261.711625,200,270.233077,env_0
-266.142244,200,271.507539,env_0
-254.605119,200,272.366937,env_0
-255.004783,200,273.243896,env_0
-260.801648,200,274.108344,env_0
-245.206976,200,274.977892,env_0
-267.494299,200,275.847146,env_0
-248.159057,200,276.708096,env_0
-247.945213,200,277.56342,env_0
-243.353777,200,278.450731,env_0
-261.436014,200,279.348828,env_0
-255.108093,200,280.258802,env_0
-259.144623,200,281.134256,env_0
-244.477324,200,282.028521,env_0
-260.420172,200,282.87029,env_0
-251.528119,200,283.704002,env_0
-258.629343,200,284.586829,env_0
-250.294351,200,285.435208,env_0
-250.140739,200,286.273558,env_0
-247.072696,200,287.120654,env_0
-252.809186,200,288.009929,env_0
-246.536018,200,288.892926,env_0
-251.53685,200,289.763442,env_0
-248.720686,200,290.638672,env_0
-236.853088,200,291.545113,env_0
-259.231208,200,292.427569,env_0
-244.670669,200,293.287926,env_0
-254.181653,200,294.135701,env_0
-247.322198,200,295.008228,env_0
-255.525012,200,295.898851,env_0
-255.579957,200,296.757879,env_0
-255.305978,200,297.634804,env_0
-244.725482,200,298.512453,env_0
-234.574091,200,299.407562,env_0
-242.197737,200,300.294895,env_0
-237.134593,200,301.174908,env_0
-254.734529,200,302.078002,env_0
-245.134182,200,303.007578,env_0
-246.142329,200,303.941829,env_0
-250.553758,200,304.853438,env_0
-254.371741,200,305.75518,env_0
-240.181838,200,306.701572,env_0
-240.28204,200,307.597111,env_0
-249.953377,200,308.499483,env_0
-245.706392,200,309.432738,env_0
-239.224754,200,310.370152,env_0
-242.053985,200,311.34078,env_0
-234.896568,200,312.25344,env_0
-243.808002,200,313.191432,env_0
-248.335755,200,314.120462,env_0
-256.567275,200,315.054385,env_0
-246.121376,200,316.013414,env_0
-238.721392,200,316.942994,env_0
-237.053132,200,317.862815,env_0
-239.837818,200,318.824497,env_0
-249.342156,200,319.806455,env_0
-245.613613,200,320.79015,env_0
-237.040083,200,321.728449,env_0
-239.449414,200,322.708521,env_0
-242.872091,200,323.621296,env_0
-241.116261,200,324.545964,env_0
-234.511077,200,325.49295,env_0
-235.888621,200,326.398081,env_0
-233.913229,200,327.316039,env_0
-239.011112,200,328.207894,env_0
-235.822514,200,329.132957,env_0
-232.170785,200,330.063024,env_0
-240.978753,200,331.003717,env_0
-243.16727,200,331.939836,env_0
-236.761049,200,332.850312,env_0
-237.311013,200,333.770452,env_0
-239.027566,200,334.720206,env_0
-236.520437,200,335.671103,env_0
-249.194368,200,336.57443,env_0
-226.85477,200,337.526256,env_0
-236.652348,200,338.432816,env_0
-242.852487,200,339.340413,env_0
-228.466614,200,340.287408,env_0
-236.712062,200,341.210478,env_0
-240.827584,200,342.12732,env_0
-223.603901,200,343.033467,env_0
-236.125619,200,343.998979,env_0
-245.882979,200,344.955541,env_0
-231.887024,200,345.907708,env_0
-234.688313,200,346.863755,env_0
-224.86123,200,347.799073,env_0
-228.089802,200,348.736921,env_0
-235.273299,200,349.682656,env_0
-236.284492,200,350.634251,env_0
-224.942807,200,351.55258,env_0
-228.013154,200,352.520798,env_0
-229.251526,200,353.475045,env_0
-234.264881,200,354.418066,env_0
-225.849402,200,355.370765,env_0
-222.350215,200,356.32238,env_0
-213.107678,200,357.256774,env_0
-225.501553,200,358.208772,env_0
-222.6097,200,359.138389,env_0
-215.698448,200,360.070665,env_0
-213.906785,200,361.027366,env_0
-217.576104,200,362.024914,env_0
-218.459316,200,363.429139,env_0
-221.593269,200,364.798935,env_0
-222.404606,200,366.084775,env_0
-215.68951,200,367.492532,env_0
-225.030306,200,368.837686,env_0
-217.660212,200,370.123715,env_0
-227.218767,200,371.680258,env_0
-217.819078,200,372.841652,env_0
-226.509714,200,374.284237,env_0
-230.177817,200,375.61724,env_0
-219.961757,200,376.887363,env_0
-215.014222,200,378.163118,env_0
-222.556476,200,379.188416,env_0
-230.588851,200,380.140168,env_0
-218.490122,200,381.130549,env_0
-204.356943,200,382.05781,env_0
-217.523848,200,382.999614,env_0
-214.446562,200,384.086801,env_0
-232.90029,200,385.021374,env_0
-219.002625,200,386.037051,env_0
-211.927203,200,387.128722,env_0
-215.144994,200,388.172237,env_0
-212.240386,200,389.466218,env_0
-216.452796,200,390.549632,env_0
-209.087363,200,391.54632,env_0
-218.785562,200,392.46613,env_0
-209.407385,200,393.348222,env_0
-215.259442,200,394.241503,env_0
-208.878041,200,395.170915,env_0
-211.138184,200,396.062418,env_0
-213.72924,200,396.978749,env_0
-199.374634,200,397.870307,env_0
-206.481122,200,399.014826,env_0
-206.072642,200,400.614738,env_0
-213.979893,200,402.204546,env_0
-212.970952,200,403.700437,env_0
-209.635951,200,405.287013,env_0
-211.399593,200,406.926404,env_0
-214.26177,200,408.537441,env_0
-214.328638,200,410.265328,env_0
-202.228254,200,412.301093,env_0
-211.53875,200,414.27319,env_0
-208.085388,200,415.933997,env_0
-214.165871,200,417.543088,env_0
-202.783206,200,419.064573,env_0
-212.579565,200,420.549209,env_0
-205.331673,200,422.041609,env_0
-209.196234,200,423.426914,env_0
-207.188313,200,424.843013,env_0
-205.619755,200,426.35936,env_0
-207.213855,200,427.859536,env_0
-205.418802,200,429.452553,env_0
-203.109665,200,430.938517,env_0
-212.831065,200,432.378854,env_0
-202.666571,200,433.874506,env_0
-206.098867,200,435.459351,env_0
-195.43031,200,436.921329,env_0
